##;ONE;##
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
-8.809142E-21;2.599998;-5.746268E-20;0.4977095;0.5022801;0.4958968;0.5040699;0.2056679;2.46236;0.147903;-0.344362;-0.8923608;0.08545873;0.2789334;0.1381157;2.51516;0.1355801;0.01038954;0.8879524;-0.4075859;-0.2128539;0.1108725;2.520901;0.1463787;-0.1888233;0.8647417;-0.3478842;-0.3091026;0.09445968;2.518421;0.1611976;-0.1888233;0.8647417;-0.3478842;-0.3091026;0.1363493;2.539997;0.1753133;0.1523368;0.9543933;0.1678294;-0.1943207;0.1024807;2.549038;0.1907614;-0.1885636;0.9459549;0.2273626;-0.1338636;0.08312765;2.540062;0.1939947;0.2490568;-0.9265466;-0.2454184;0.1387524;0.0696036;2.531509;0.1961728;0.2490568;-0.9265466;-0.2454184;0.1387524;0.1467552;2.531349;0.1913149;0.1827908;0.9192994;0.2596012;-0.2325589;0.1114774;2.540913;0.2129347;-0.08197109;0.9287008;0.3204926;-0.1675711;0.08842192;2.534378;0.2191252;-0.135464;0.9168208;0.3383497;-0.1631221;0.07196994;2.527893;0.2228754;-0.135464;0.9168208;0.3383497;-0.1631221;0.159481;2.518372;0.2025588;0.2080384;0.8883398;0.2974375;-0.2812535;0.130166;2.526283;0.2263558;0.007449031;0.9060916;0.3581713;-0.2250686;0.1087014;2.522514;0.2362391;0.1250694;-0.8879026;-0.4013787;0.1867679;0.09008304;2.514809;0.2410288;0.1250694;-0.8879026;-0.4013787;0.1867679;0.1700238;2.503391;0.2102413;0.3143944;0.798779;0.3353146;-0.3881656;0.1545361;2.510399;0.2360461;0.08173789;0.8577828;0.4267845;-0.2745593;0.1404367;2.508675;0.2451109;-0.04200354;0.8515109;0.4742361;-0.2196934;0.1255344;2.50404;0.2506467;-0.04200354;0.8515109;0.4742361;-0.2196934;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
???Right;invalid_hand;
##;##;##

